date,total,total_male,total_female
1982-04-01,963,911,52
1982-05-01,966,914,52
1982-06-01,967,915,52
1982-07-01,970,918,52
1982-08-01,974,921,53
1982-09-01,974,921,53
1982-10-01,975,922,53
1982-11-01,977,924,53
1982-12-01,980,927,53
1983-01-01,981,928,53
1983-02-01,987,932,55
1983-03-01,994,939,55
1983-04-01,998,943,55
1983-05-01,1000,945,55
1983-06-01,1001,946,55
1983-07-01,1003,948,55
1983-08-01,1011,956,55
1983-09-01,1011,956,55
1983-10-01,1016,961,55
1983-11-01,1025,970,55
1983-12-01,1035,980,55
1984-01-01,1035,980,55
1984-02-01,1038,983,55
1984-03-01,1044,989,55
1984-04-01,1046,991,55
1984-05-01,1048,993,55
1984-06-01,1049,994,55
1984-07-01,1050,995,55
1984-08-01,1051,996,55
1984-09-01,1051,996,55
1984-10-01,1051,996,55
1984-11-01,1056,1001,55
1984-12-01,1058,1003,55
1985-01-01,1061,1006,55
1985-02-01,1063,1008,55
1985-03-01,1067,1011,56
1985-04-01,1068,1012,56
1985-05-01,1071,1015,56
1985-06-01,1079,1022,57
1985-07-01,1084,1026,58
1985-08-01,1091,1033,58
1985-09-01,1092,1034,58
1985-10-01,1092,1034,58
1985-11-01,1094,1036,58
1985-12-01,1097,1040,57
1986-01-01,1096,1039,57
1986-02-01,1092,1035,57
1986-03-01,1096,1039,57
1986-04-01,1097,1040,57
1986-05-01,1098,1040,58
1986-06-01,1095,1037,58
1986-07-01,1098,1040,58
1986-08-01,1104,1046,58
1986-09-01,1103,1045,58
1986-10-01,1101,1043,58
1986-11-01,1103,1045,58
1986-12-01,1106,1048,58
1987-01-01,1106,1047,59
1987-02-01,1105,1046,59
1987-03-01,1109,1050,59
1987-04-01,1115,1055,60
1987-05-01,1118,1058,60
1987-06-01,1118,1057,61
1987-07-01,1120,1059,61
1987-08-01,1123,1061,62
1987-09-01,1121,1059,62
1987-10-01,1117,1055,62
1987-11-01,1122,1060,62
1987-12-01,1128,1066,62
1988-01-01,1127,1065,62
1988-02-01,1129,1067,62
1988-03-01,1136,1073,63
1988-04-01,1135,1072,63
1988-05-01,1132,1070,62
1988-06-01,1132,1070,62
1988-07-01,1131,1069,62
1988-08-01,1132,1071,61
1988-09-01,1130,1069,61
1988-10-01,1126,1065,61
1988-11-01,1124,1063,61
1988-12-01,1124,1064,60
1989-01-01,1123,1063,60
1989-02-01,1123,1063,60
1989-03-01,1125,1064,61
1989-04-01,1123,1062,61
1989-05-01,1122,1061,61
1989-06-01,1121,1060,61
1989-07-01,1119,1059,60
1989-08-01,1121,1061,60
